,time,open,high,low,close,tick_volume,spread,real_volume,sma25,sma50,sma75,sma100,sma200
0,2019-12-10 04:00:00,0.68272,0.68277,0.68268,0.68276,106,16,0,,,,,
1,2019-12-10 04:05:00,0.68276,0.68287,0.68275,0.68286,70,16,0,,,,,
2,2019-12-10 04:10:00,0.68286,0.68315,0.68286,0.68314,77,16,0,,,,,
3,2019-12-10 04:15:00,0.68314,0.68327,0.68305,0.68325,85,16,0,,,,,
4,2019-12-10 04:20:00,0.68325,0.68342,0.68309,0.68336,193,16,0,,,,,
5,2019-12-10 04:25:00,0.68335,0.68367,0.68333,0.68347,120,16,0,,,,,
6,2019-12-10 04:30:00,0.68347,0.68347,0.68332,0.68333,68,16,0,,,,,
7,2019-12-10 04:35:00,0.68333,0.6834,0.68326,0.68332,81,16,0,,,,,
8,2019-12-10 04:40:00,0.68332,0.68335,0.68317,0.68323,67,16,0,,,,,
9,2019-12-10 04:45:00,0.68323,0.68325,0.68317,0.68325,39,16,0,,,,,
10,2019-12-10 04:50:00,0.68325,0.68325,0.68313,0.68313,14,16,0,,,,,
11,2019-12-10 04:55:00,0.68313,0.68324,0.68313,0.68324,34,16,0,,,,,
12,2019-12-10 05:00:00,0.68324,0.68327,0.68313,0.68319,84,16,0,,,,,
13,2019-12-10 05:05:00,0.68319,0.68322,0.68315,0.68316,29,16,0,,,,,
14,2019-12-10 05:10:00,0.68316,0.68329,0.68308,0.68325,84,16,0,,,,,
15,2019-12-10 05:15:00,0.68325,0.68325,0.68303,0.68303,64,16,0,,,,,
16,2019-12-10 05:20:00,0.68303,0.68305,0.68287,0.68295,70,16,0,,,,,
17,2019-12-10 05:25:00,0.68295,0.68303,0.6829,0.68299,46,16,0,,,,,
18,2019-12-10 05:30:00,0.68299,0.68309,0.68297,0.68301,55,16,0,,,,,
19,2019-12-10 05:35:00,0.68301,0.68304,0.68294,0.68296,38,16,0,,,,,
20,2019-12-10 05:40:00,0.68296,0.683,0.68295,0.68296,42,16,0,,,,,
21,2019-12-10 05:45:00,0.68296,0.68309,0.68296,0.68306,82,16,0,,,,,
22,2019-12-10 05:50:00,0.68306,0.68307,0.68294,0.68295,46,17,0,,,,,
23,2019-12-10 05:55:00,0.68295,0.68312,0.68295,0.683,76,16,0,,,,,
24,2019-12-10 06:00:00,0.683,0.68313,0.683,0.68309,49,16,0,0.6831175999999999,,,,
25,2019-12-10 06:05:00,0.68309,0.68311,0.68305,0.68307,27,16,0,0.6831299999999999,,,,
26,2019-12-10 06:10:00,0.68307,0.68309,0.68304,0.68307,41,16,0,0.6831383999999998,,,,
27,2019-12-10 06:15:00,0.68307,0.68321,0.68306,0.68319,60,16,0,0.6831403999999998,,,,
28,2019-12-10 06:20:00,0.68319,0.68322,0.68315,0.68321,37,16,0,0.6831387999999997,,,,
29,2019-12-10 06:25:00,0.68321,0.68321,0.68305,0.68306,28,16,0,0.6831267999999997,,,,
30,2019-12-10 06:30:00,0.68306,0.68307,0.68296,0.68299,19,16,0,0.6831075999999997,,,,
